ASV,Kingdom,Phylum,Class,Order,Family,Genus
6e786865b81838af471f2c8f5240dfe6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
bcbf4d1a9517bc75e36537c63dae3515,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
e7b168f989cc3f2062415e6ccb8d54e5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
e3c5035b127b508a7acdcb05f2b68db5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
1751b466cfa5ef8259e97f8f3d399f2a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
6934ab21d3083d1d9a11cf30b396e082,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
893bb722da1dedeebac79b892a9bf770,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
221dc04314a8dc76a9f36ef08fa71207,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
e09ed9a5128978c502b01fa885732b28,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
16e12b371be10d1a5f0f8b070c3848fa,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
7c7b5812044bf506a56faa0a10ce81ab,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
40b7a3b972c5289597cbaaf9f0f8fd38,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
7eb42e1674a1e41d6e9c4bbe891302ee,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4115cbe31faab65eeabc5fdc73621471,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
548f953abb7eacf37a911e9f619cc47c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0d5a104b3f3feb06a688f9cb19933e87,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
12a8248007be39cf93bed90dc886bfef,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
1f34046a64ade729f8e30c58abed3411,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
09730d68131e4c5b080742d9099504b3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
11742326a3f87e67884790b074f332c1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
1b83781c592e338addb4a4c9b34c438d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
16c95cf6b1d766d38149aaeae73841d2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4333756ea9151ea75dc7a9cb07945e7f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
8abd42f560bf5ff4e5d530a06ec3e7f0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0feb7a5840ea79f2bc672f2a4655ec6a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
2c8fb92b5511b45bd7d21ea65e18d5f1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,g_Burkholderiales_unclassified
